model,HR@10,NDCG@10,MRR@10,train_total_sec,test_eval_sec
sasrec_base_id_only,0.02288432721823763,0.011223335112472225,0.00771772197732742,1918.4896235121414,48.76652740780264
sasrec_structured_naive,0.022339,0.010935,0.007522,1966.95374,49.775926
sasrec_structured_gated,0.023502625951088933,0.011680522884475632,0.00812247095035114,1184.4001576043665,49.95582476723939
sasrec_structured_text_gated,0.023524448259307214,0.011793843391914853,0.008261296623823354,1222.0561882704496,52.201269464567304
