epoch,train_loss,epoch_sec,HR@10,NDCG@10,MRR@10,Recall@10
1,6.619763572196093,149.024800889194,0.03408114489540988,0.017177681980359263,0.012099433940790497,0.03408114489540988
2,5.664822429456871,150.02565980143845,0.04099846201613078,0.021364614972171517,0.015447672044395266,0.04099846201613078
3,5.471302147224761,149.68728868477046,0.0431285335720939,0.022903087356660513,0.016804502410814562,0.0431285335720939
4,5.376234923370922,149.54266373626888,0.04474594383831674,0.0236940852130171,0.017347467220565405,0.04474594383831674
5,5.314959557023961,149.8715276028961,0.04582903107016239,0.02419743641351674,0.01766498656341458,0.04582903107016239
6,5.269718761328329,150.1293043754995,0.04656553038781743,0.02479942606254524,0.018225383920039927,0.04656553038781743
7,5.235261858865813,150.05886591412127,0.046839912486551664,0.024937911779918946,0.01831756094715226,0.046839912486551664
8,5.208005268966422,151.14645359292626,0.04702764760673825,0.024959963047694416,0.018288922172331374,0.04702764760673825
9,5.184958609559564,149.50458844192326,0.047785808669030205,0.025537043237307027,0.018830024530493077,0.047785808669030205
10,5.166373961771007,149.78958004899323,0.04821182298022283,0.02590251662440657,0.019155612586688478,0.04821182298022283
11,5.150668243671249,149.39202475175261,0.048724484269963106,0.026130994014667536,0.0193022620248183,0.048724484269963106
12,5.1365962575991855,149.4592749029398,0.04873170485150874,0.026020269401398656,0.01915287908081769,0.04873170485150874
13,5.1243073262896415,149.5670693255961,0.04889055764551277,0.026294844694955855,0.019463011654133208,0.04889055764551277
14,5.114248484510214,149.44273262098432,0.04895554287942351,0.026196698947837306,0.019315597178196676,0.04895554287942351
15,5.105006032290715,149.4275734089315,0.04874614601460001,0.026199144060437256,0.019384063763924028,0.04874614601460001
16,5.0966917858923,150.42352116853,0.048803910666965114,0.026230124944544367,0.019404461906790512,0.048803910666965114
17,5.088497059106827,150.12304083630443,0.04905663102106244,0.026399895834321778,0.019557102708417134,0.04905663102106244
18,5.0818291921576595,150.99799017049372,0.04948264533225506,0.02648950718235912,0.01953852117217765,0.04948264533225506
19,5.075740082640728,149.78423305228353,0.0497209245232611,0.026732338464815434,0.019782934992187386,0.0497209245232611
20,5.070341184010403,150.19707764871418,0.04946820416916378,0.026728191753198016,0.019842734014749824,0.04946820416916378
