epoch,train_loss,epoch_sec,HR@10,NDCG@10,MRR@10,Recall@10
1,6.70410376071999,191.57744344323874,0.020876674862155754,0.009771537824424322,0.006448119713719039,0.020876674862155754
2,6.121785345204539,191.77548016794026,0.02316074312233586,0.010991691758547828,0.007348087869313704,0.02316074312233586
3,6.018895562045678,192.83570987917483,0.02382996057436315,0.011517718944628493,0.007827402168513936,0.02382996057436315
4,5.965744590919857,191.76031552441418,0.02455737084830586,0.011868741098517238,0.00806585707057796,0.02455737084830586
5,5.933090231350759,191.86450558155775,0.02473194931405211,0.011969913197322319,0.008142503598371605,0.02473194931405211
6,5.910594887400278,191.739416224882,0.02533569984142456,0.012275229268373213,0.008353074439934506,0.02533569984142456
7,5.894190122581326,191.42047837283462,0.025546648820867945,0.01251828807287144,0.008597438107199968,0.025546648820867945
8,5.881551061150497,191.85430018603802,0.0255611970263468,0.01240683722449053,0.008459437986657665,0.0255611970263468
9,5.871609325101645,191.86435096617788,0.025503004204431384,0.012371974111397097,0.008427483892480905,0.025503004204431384
10,5.863466676409554,191.73337348829955,0.02588853164962102,0.01262313057552189,0.008636865475976866,0.02588853164962102
