epoch,train_loss,epoch_sec,HR@10,NDCG@10,MRR@10,Recall@10
1,6.75392028709188,196.77113611903042,0.01881082968415846,0.00855684713738483,0.00549726747753284,0.01881082968415846
2,6.2098719610219035,197.1910197371617,0.021720470779929297,0.010152022842697747,0.006685463294531196,0.021720470779929297
3,6.094730025133633,196.27022983226925,0.022971616451110757,0.01090588894214428,0.00728793796737554,0.022971616451110757
4,6.031541281752598,196.69608837738633,0.023655382108616903,0.011333688645116658,0.007644879920728448,0.023655382108616903
5,5.992756201762117,196.5988925844431,0.023742671341490027,0.011313212718818404,0.007581476878398481,0.023742671341490027
6,5.965674067928662,196.66745813190937,0.024302777252425915,0.011612818904130216,0.007807866006870917,0.024302777252425915
7,5.9454789977720175,196.52848404552788,0.024710127005833832,0.011883976302532552,0.008038815882299022,0.024710127005833832
8,5.929934287897957,196.76055936794728,0.024928350088016644,0.012026957580898879,0.008159944125653995,0.024928350088016644
9,5.918032415384686,196.67801179364324,0.024804690341446382,0.011923641623962297,0.00805543951629757,0.024804690341446382
10,5.908134929663222,196.7021274799481,0.02453554854008758,0.011884245373514415,0.008090695822194127,0.02453554854008758
